2018-08-06 11:14:21.926 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
2018-08-06 11:14:21.926 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
2018-08-06 11:14:21.958 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018-08-06 11:14:21.958 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018-08-06 11:14:21.989 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2018-08-06 11:14:22.144 [main] INFO  o.s.w.s.v.f.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration 
2018-08-06 11:14:22.350 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup 
2018-08-06 11:14:22.351 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'masterConfig' has been autodetected for JMX exposure 
2018-08-06 11:14:22.352 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'masterSource' has been autodetected for JMX exposure 
2018-08-06 11:14:22.359 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'masterSource': registering with JMX server as MBean [com.zaxxer.hikari:name=masterSource,type=HikariDataSource] 
2018-08-06 11:14:22.360 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'masterConfig': registering with JMX server as MBean [com.zaxxer.hikari:name=masterConfig,type=HikariConfig] 
2018-08-06 11:14:22.404 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http) 
2018-08-06 11:14:22.410 [main] INFO  com.lz.vip.Application - Started Application in 3.873 seconds (JVM running for 4.897) 
2018-08-06 11:14:25.918 [Thread-11] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@2925bf5b: startup date [Mon Aug 06 11:14:18 CST 2018]; root of context hierarchy 
2018-08-06 11:14:25.920 [Thread-11] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown 
2018-08-06 11:14:25.920 [Thread-11] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans 
